estate,district,lat,lon,flats,population,dist_glass,dist_textiles,dist_hazardous,dist_batteries,dist_ewaste,district_vulnerability,nearest_hub_distance_m,dist_glass_after,dist_textiles_after,dist_hazardous_after,dist_batteries_after,dist_ewaste_after
Hong Tung Estate,Eastern,22.28436,114.22232,500,1350,222.72930230199034,203.58912071234033,373.0734047719879,188.1224529655167,373.0734047719879,0.08345532267957173,3716.718875198002,222.72930230199034,203.58912071234033,373.0734047719879,188.1224529655167,373.0734047719879
Model Housing Estate,Eastern,22.29103,114.20824,700,1890,123.29831122173935,680.4318914605801,123.29831122173935,115.46725276607981,123.29831122173935,0.08345532267957173,3804.6317132134627,123.29831122173935,680.4318914605801,123.29831122173935,115.46725276607981,123.29831122173935
Oi Tung Estate,Eastern,22.28173,114.22737,3900,10530,184.24519306147053,211.7199365830392,304.56686519010856,93.91649699829787,304.56686519010856,0.08345532267957173,3881.9130681352117,184.24519306147053,211.7199365830392,304.56686519010856,93.91649699829787,304.56686519010856
Siu Sai Wan Estate,Eastern,22.26133,114.24849,6100,16470,222.8878916196615,238.70308449444647,151.7381183819781,222.8878916196615,222.8878916196615,0.08345532267957173,6299.83762076169,222.8878916196615,238.70308449444647,151.7381183819781,222.8878916196615,222.8878916196615
Tsui Lok Estate,Eastern,22.26748,114.24037,300,810,258.38787292675767,313.48247905140465,258.38787292675767,258.38787292675767,258.38787292675767,0.08345532267957173,5467.408372632087,258.38787292675767,313.48247905140465,258.38787292675767,258.38787292675767,258.38787292675767
Tsui Wan Estate,Eastern,22.26825,114.24061,300,810,326.45546990751575,402.27618592015637,326.45546990751575,326.45546990751575,326.45546990751575,0.08345532267957173,5385.967463826908,326.45546990751575,402.27618592015637,326.45546990751575,326.45546990751575,326.45546990751575
Wan Tsui Estate,Eastern,22.26278,114.2392,3700,9990,95.37439792159815,223.46264980298878,95.37439792159815,95.37439792159815,95.37439792159815,0.08345532267957173,5972.285185224245,95.37439792159815,223.46264980298878,95.37439792159815,95.37439792159815,95.37439792159815
Yiu Tung Estate,Eastern,22.27812,114.2252,5200,14040,206.78816543646982,308.4424764611768,136.57461556084996,95.30837811760962,206.78816543646982,0.08345532267957173,4316.220359350189,206.78816543646982,308.4424764611768,136.57461556084996,95.30837811760962,206.78816543646982
Sun Chui Estate,Sha Tin,22.36916,114.18233,6600,17820,156.00587772097902,702.2345199384391,65.26527368962213,113.13749645475339,279.5355548202228,0.6508778390990247,2588.8911964762233,156.00587772097902,702.2345199384391,65.26527368962213,113.13749645475339,279.5355548202228
Sun Tin Wai Estate,Sha Tin,22.37049,114.18734,3400,9180,430.55378803889226,875.4396807201271,467.19155639045863,311.25854427707213,403.7352267894683,0.6508778390990247,2206.243533751769,430.55378803889226,875.4396807201271,467.19155639045863,311.25854427707213,403.7352267894683
Po Tin Estate,Tuen Mun,22.41024,113.96667,4200,11340,241.4091584861896,188.92944005684143,82.86405808326117,241.4091584861896,241.4091584861896,0.2468510574009941,12504.51433479736,241.4091584861896,188.92944005684143,82.86405808326117,241.4091584861896,241.4091584861896
Wo Che Estate,Sha Tin,22.388493,114.19636,6300,17010,438.55102262304194,804.1056430563298,133.44495520955053,170.9040288074312,438.55102262304194,0.6508778390990247,0.0,0.0,0.0,0.0,0.0,0.0
Sam Shing Estate,Tuen Mun,22.38107,113.97811,1800,4860,25.920260679571903,472.0819940931781,25.920260679571903,25.920260679571903,25.920260679571903,0.2468510574009941,9532.325148947522,25.920260679571903,472.0819940931781,25.920260679571903,25.920260679571903,25.920260679571903
Yiu On Estate,Sha Tin,22.41887,114.23029,500,1350,562.6645034747015,399.9620432331341,562.6645034747015,338.46517746299264,562.6645034747015,0.6508778390990247,4855.511136236099,562.6645034747015,399.9620432331341,562.6645034747015,338.46517746299264,562.6645034747015
Wing Cheong Estate,Sham Shui Po,22.32916,114.15537,1500,4050,43.78260075410649,816.2942167208944,43.78260075410649,43.78260075410649,43.78260075410649,0.572474461183177,96.0452287630578,43.78260075410649,96.0452287630578,43.78260075410649,43.78260075410649,43.78260075410649
Choi Yuen Estate,North,22.50167,114.12579,5100,13770,106.38938172285755,313.21529475362894,106.38938172285755,106.38938172285755,106.38938172285755,0.6075708532536184,3211.508210210841,106.38938172285755,313.21529475362894,106.38938172285755,106.38938172285755,106.38938172285755
Tai Ping Estate,North,22.49797,114.12668,100,270,344.2880516956699,453.26340220577015,344.2880516956699,288.521678740203,344.2880516956699,0.6075708532536184,3184.3416505891028,344.2880516956699,453.26340220577015,344.2880516956699,288.521678740203,344.2880516956699
Tin Ping Estate,North,22.50348,114.13229,500,1350,107.74574071456355,265.53150044005775,107.74574071456355,107.74574071456355,107.74574071456355,0.6075708532536184,2532.5514881549666,107.74574071456355,265.53150044005775,107.74574071456355,107.74574071456355,107.74574071456355
Wah Ming Estate,North,22.48455,114.14015,700,1890,181.72622889450471,899.9852544386745,124.77321350448668,132.07398462583635,181.72622889450471,0.6075708532536184,2784.899233332464,181.72622889450471,899.9852544386745,124.77321350448668,132.07398462583635,181.72622889450471
Wah Sum Estate,North,22.48584,114.14325,1500,4050,185.053412006325,757.8056036639786,185.053412006325,185.053412006325,185.053412006325,0.6075708532536184,2480.3496000929804,185.053412006325,757.8056036639786,185.053412006325,185.053412006325,185.053412006325
Yung Shing Court,North,22.48264,114.13775,1700,4590,169.24755306837378,1089.0382230104526,169.24755306837378,169.24755306837378,169.24755306837378,0.6075708532536184,3104.9577077644976,169.24755306837378,1089.0382230104526,169.24755306837378,169.24755306837378,169.24755306837378
Ma Hang Estate,Southern,22.22169,114.20701,900,2430,312.81346813958027,107.9156365698591,592.470509888871,379.04568531044015,592.470509888871,0.5164492260702831,7909.698664884687,312.81346813958027,107.9156365698591,592.470509888871,379.04568531044015,592.470509888871
Shek Pai Wan Estate,Southern,22.24933,114.15726,5300,14310,35.96590297015603,53.11932332738797,35.96590297015603,35.96590297015603,35.96590297015603,0.5164492260702831,2079.1922940648155,35.96590297015603,53.11932332738797,35.96590297015603,35.96590297015603,35.96590297015603
Wah Fu (I) Estate,Southern,22.25017,114.13744,4800,12960,71.93490844582541,1338.5938346221624,8.233222681888789,0.8883346093864691,71.93490844582541,0.5164492260702831,138.27156060257693,71.93490844582541,138.27156060257693,8.233222681888789,0.8883346093864691,71.93490844582541
Wah Fu (II) Estate,Southern,22.25139,114.13718,4300,11610,119.30066839637233,1203.250253405229,119.30066839637233,88.0164819926589,119.30066839637233,0.5164492260702831,0.0,0.0,0.0,0.0,0.0,0.0
Wah Kwai Estate,Southern,22.25011,114.14024,800,2160,357.3782702929648,1129.5558634977567,280.009124705923,187.17793728392476,357.3782702929648,0.5164492260702831,345.5892890358094,345.5892890358094,345.5892890358094,280.009124705923,187.17793728392476,345.5892890358094
Oi Man Estate,Kowloon City,22.31313,114.17884,6300,17010,240.72164864480575,539.113260735487,767.7204874778631,99.78957519344205,767.7204874778631,0.797176650828884,3025.609503716616,240.72164864480575,539.113260735487,767.7204874778631,99.78957519344205,767.7204874778631
Hoi Fu Court,Yau Tsim Mong,22.31686,114.16454,2800,7560,242.1358357009283,199.55084031042435,281.00927350835457,182.74767054421739,281.00927350835457,0.002530346473102971,1655.884995522048,242.1358357009283,199.55084031042435,281.00927350835457,182.74767054421739,281.00927350835457
Chai Wan Estate,Eastern,22.26364,114.24197,1600,4320,95.8088408509607,252.15329957096301,95.8088408509607,95.8088408509607,95.8088408509607,0.08345532267957173,5913.497349739622,95.8088408509607,252.15329957096301,95.8088408509607,95.8088408509607,95.8088408509607
Fung Wah Estate,Eastern,22.2611,114.23152,300,810,324.8074664866136,579.4384068330628,324.8074664866136,324.8074664866136,324.8074664866136,0.08345532267957173,6130.62729761207,324.8074664866136,579.4384068330628,324.8074664866136,324.8074664866136,324.8074664866136
Hing Man Estate,Eastern,22.26646,114.23257,2000,5400,285.2176964177372,579.5930751723944,285.2176964177372,285.2176964177372,285.2176964177372,0.08345532267957173,5532.429874570868,285.2176964177372,579.5930751723944,285.2176964177372,285.2176964177372,285.2176964177372
Cheung Wah Estate,North,22.49219,114.1419,900,2430,100.81164747060124,39.36986845458972,100.81164747060124,100.81164747060124,100.81164747060124,0.6075708532536184,2042.9155528873546,100.81164747060124,39.36986845458972,100.81164747060124,100.81164747060124,100.81164747060124
Tai Wo Estate,Tai Po,22.45201,114.16259,1000,2700,96.70387891855215,113.94038343242737,96.70387891855215,96.70387891855215,96.70387891855215,0.2600838573192465,1253.2900067190235,96.70387891855215,113.94038343242737,96.70387891855215,96.70387891855215,96.70387891855215
Choi Ming Court,Sai Kung,22.30682,114.25311,2800,7560,63.30205229380938,180.10072282681764,63.30205229380938,63.30205229380938,63.30205229380938,0.09761167188461617,2291.6021475688794,63.30205229380938,180.10072282681764,63.30205229380938,63.30205229380938,63.30205229380938
Wan Tau Tong Estate,Tai Po,22.44275,114.16876,300,810,79.68923013574786,524.5482308046555,79.68923013574786,79.68923013574786,79.68923013574786,0.2600838573192465,775.5989990561901,79.68923013574786,524.5482308046555,79.68923013574786,79.68923013574786,79.68923013574786
Choi Wan (I) Estate,Wong Tai Sin,22.33301,114.21512,5900,15930,39.08192475083744,259.23191660758135,39.08192475083744,39.08192475083744,39.08192475083744,0.4953152685747593,1255.9124192904055,39.08192475083744,259.23191660758135,39.08192475083744,39.08192475083744,39.08192475083744
Chuk Yuen (North) Estate,Wong Tai Sin,22.34581,114.19293,700,1890,119.32190511568076,510.36778278655436,119.32190511568076,119.32190511568076,119.32190511568076,0.4953152685747593,896.9924562891292,119.32190511568076,510.36778278655436,119.32190511568076,119.32190511568076,119.32190511568076
Chuk Yuen South Estate,Wong Tai Sin,22.34463,114.19064,6200,16740,80.826934490299,540.6071607706339,80.826934490299,80.826934490299,80.826934490299,0.4953152685747593,631.4846173737208,80.826934490299,540.6071607706339,80.826934490299,80.826934490299,80.826934490299
Lower Wong Tai Sin (2) Estate,Wong Tai Sin,22.33989,114.19119,6700,18090,247.19663136803428,328.1813558581813,247.19663136803428,200.11853225298896,247.19663136803428,0.4953152685747593,544.4657208862259,247.19663136803428,328.1813558581813,247.19663136803428,200.11853225298896,247.19663136803428
Kin Ming Estate,Sai Kung,22.30644,114.25094,7000,18900,139.67203473726573,84.77524272817436,139.67203473726573,139.67203473726573,139.67203473726573,0.09761167188461617,2116.735494208009,139.67203473726573,84.77524272817436,139.67203473726573,139.67203473726573,139.67203473726573
Fung Tak Estate,Wong Tai Sin,22.34489,114.20121,800,2160,119.45975266697121,350.7286885489259,119.45975266697121,119.45975266697121,119.45975266697121,0.4953152685747593,1384.4736460864738,119.45975266697121,350.7286885489259,119.45975266697121,119.45975266697121,119.45975266697121
King Lam Estate,Sai Kung,22.31986,114.26158,1000,2700,451.3785487322814,67.42555674788649,451.3785487322814,417.0664127984947,12.493694089708143,0.09761167188461617,2939.245388418978,451.3785487322814,67.42555674788649,451.3785487322814,417.0664127984947,12.493694089708143
Lok Fu Estate,Wong Tai Sin,22.33818,114.18666,3700,9990,78.19799439579559,831.3974760784262,78.19799439579559,5.003771698985027,78.19799439579559,0.4953152685747593,309.75044101017227,78.19799439579559,309.75044101017227,78.19799439579559,5.003771698985027,78.19799439579559
Yau Oi Estate,Tuen Mun,22.38828,113.97354,9200,24840,281.8209511629005,312.0519556718783,300.23396674374607,300.23396674374607,300.23396674374607,0.2468510574009941,10201.09282592835,281.8209511629005,312.0519556718783,300.23396674374607,300.23396674374607,300.23396674374607
Shin Ming Estate,Sai Kung,22.30371,114.24983,2000,5400,224.61610769767677,312.59006600224586,224.61610769767677,224.61610769767677,224.61610769767677,0.09761167188461617,2197.839291359689,224.61610769767677,312.59006600224586,224.61610769767677,224.61610769767677,224.61610769767677
Tin King Estate,Tuen Mun,22.40587,113.96399,400,1080,540.8468226780783,190.3833510837709,485.6772871086197,168.79187022598558,540.8468226780783,0.2468510574009941,11993.33910868702,540.8468226780783,190.3833510837709,485.6772871086197,168.79187022598558,540.8468226780783
Tai Wo Hau Estate,Kwai Tsing,22.36743,114.12551,7900,21330,79.81286519951261,70.3423074484552,79.81286519951261,79.81286519951261,79.81286519951261,0.1635933757904977,1411.7166083350621,79.81286519951261,70.3423074484552,79.81286519951261,79.81286519951261,79.81286519951261
Lung Hang Estate,Sha Tin,22.36524,114.17843,4400,11880,171.82436427299174,395.38452878664066,351.3775197109602,351.3775197109602,293.2356860269485,0.6508778390990247,2816.5076196898967,171.82436427299174,395.38452878664066,351.3775197109602,351.3775197109602,293.2356860269485
Wah Lai Estate,Kwai Tsing,22.34257,114.13754,1400,3780,270.41438288629297,602.1202372271686,601.378264998392,391.7096101882346,601.378264998392,0.1635933757904977,2346.5908880132943,270.41438288629297,602.1202372271686,601.378264998392,391.7096101882346,601.378264998392
Tsing Yi Estate,Kwai Tsing,22.35465,114.1028,400,1080,273.14412637265605,110.30197168653929,265.14687747954406,56.57513364288953,273.14412637265605,0.1635933757904977,3981.64699982697,273.14412637265605,110.30197168653929,265.14687747954406,56.57513364288953,273.14412637265605
Kwai Hing Estate,Kwai Tsing,22.36625,114.13261,200,540,289.688620927661,639.6574222583183,289.688620927661,143.11507635584564,175.35971987525073,0.1635933757904977,1422.81258047097,289.688620927661,639.6574222583183,289.688620927661,143.11507635584564,175.35971987525073
Mei Lam Estate,Sha Tin,22.37777,114.17732,4100,11070,359.69120016294517,219.87524435531444,359.69120016294517,83.1703562548676,359.69120016294517,0.6508778390990247,2292.1697206322706,359.69120016294517,219.87524435531444,359.69120016294517,83.1703562548676,359.69120016294517
Shek Lei (II) Estate,Kwai Tsing,22.36752,114.1408,8400,22680,154.05781885202225,179.9952968456692,154.05781885202225,154.05781885202225,154.05781885202225,0.1635933757904977,1611.270992604269,154.05781885202225,179.9952968456692,154.05781885202225,154.05781885202225,154.05781885202225
Fu Tai Estate,Tuen Mun,22.41336,113.98469,5100,13770,102.49729985130313,1643.339896859851,102.49729985130313,102.49729985130313,102.49729985130313,0.2468510574009941,13176.568196663397,102.49729985130313,1643.339896859851,102.49729985130313,102.49729985130313,102.49729985130313
Kin Sang Estate,Tuen Mun,22.40605,113.96994,300,810,301.2717224522239,387.7645487978945,216.87937297115292,272.83663257169786,139.15388619298616,0.2468510574009941,12084.430100486052,301.2717224522239,387.7645487978945,216.87937297115292,272.83663257169786,139.15388619298616
Leung King Estate,Tuen Mun,22.40756,113.96332,1500,4050,525.807370634056,55.650387882344994,402.12217548873866,170.0412314833969,525.807370634056,0.2468510574009941,12174.482654297071,525.807370634056,55.650387882344994,402.12217548873866,170.0412314833969,525.807370634056
Sha Kok Estate,Sha Tin,22.3778,114.19328,6400,17280,237.60078634164552,207.15821201374345,237.60078634164552,52.155079786239504,214.42822226562666,0.6508778390990247,1230.4564023354958,237.60078634164552,207.15821201374345,237.60078634164552,52.155079786239504,214.42822226562666
Shek Mun Estate,Sha Tin,22.38669,114.20929,5000,13500,355.95358998215397,610.9796460046131,355.95358998215397,150.37860008426298,355.95358998215397,0.6508778390990247,1344.4175832243727,355.95358998215397,610.9796460046131,355.95358998215397,150.37860008426298,355.95358998215397
Yau Tong Estate,Kwun Tong,22.29744,114.23853,3600,9720,275.9441621611376,583.924592194514,165.40065092988584,146.05603710173278,275.9441621611376,0.4964709029810196,2155.875652960332,275.9441621611376,583.924592194514,165.40065092988584,146.05603710173278,275.9441621611376
Ngan Wan Estate,Islands,22.26514,113.99676,400,1080,327.94523317844545,214.79476533562027,409.9077646185504,163.98976310425905,409.9077646185504,0.3895043047188248,5804.1346811483945,327.94523317844545,214.79476533562027,409.9077646185504,163.98976310425905,409.9077646185504
Hau Tak Estate,Sai Kung,22.31876,114.26372,4200,11340,238.11639018014006,306.6844387821538,238.11639018014006,211.04955538632476,238.11639018014006,0.09761167188461617,3144.0453048041995,238.11639018014006,306.6844387821538,238.11639018014006,211.04955538632476,238.11639018014006
Lung Tin Estate,Islands,22.25282,113.86577,500,1350,73.41868643629483,155.3583898089441,357.4123158588929,357.4123158588929,73.41868643629483,0.3895043047188248,10341.61820658946,73.41868643629483,155.3583898089441,357.4123158588929,357.4123158588929,73.41868643629483
Hung Hom Estate,Kowloon City,22.30736,114.18906,2800,7560,185.5317038189641,378.03248028232827,215.68436432194184,190.29527820201136,215.68436432194184,0.797176650828884,3141.9703562429618,185.5317038189641,378.03248028232827,215.68436432194184,190.29527820201136,215.68436432194184
Shatin Pass Estate,Wong Tai Sin,22.34964,114.19499,1300,3510,376.76466143111645,598.3643676677245,376.76466143111645,376.76466143111645,376.76466143111645,0.4953152685747593,1340.6809654906324,376.76466143111645,598.3643676677245,376.76466143111645,376.76466143111645,376.76466143111645
Choi Ying Estate,Kwun Tong,22.32756,114.21542,4000,10800,149.7694857453188,605.0671503931312,104.5592085515647,149.7694857453188,149.7694857453188,0.4964709029810196,1399.8856730205475,149.7694857453188,605.0671503931312,104.5592085515647,149.7694857453188,149.7694857453188
Ping Shek Estate,Kwun Tong,22.33356,114.2096,4600,12420,112.40609510406843,443.8809776665372,112.40609510406843,60.639341271004895,83.86152967575063,0.4964709029810196,696.3650245476638,112.40609510406843,443.8809776665372,112.40609510406843,60.639341271004895,83.86152967575063
Fu Shin Estate,Tai Po,22.453,114.17556,1200,3240,45.04005762208313,768.7825010423257,45.04005762208313,45.04005762208313,45.04005762208313,0.2600838573192465,598.0071166276715,45.04005762208313,598.0071166276715,45.04005762208313,45.04005762208313,45.04005762208313
Nam Cheong Estate,Sham Shui Po,22.32642,114.15827,400,1080,122.80083746808818,390.5690306778776,122.80083746808818,122.80083746808818,122.80083746808818,0.572474461183177,444.9077873557182,122.80083746808818,390.5690306778776,122.80083746808818,122.80083746808818,122.80083746808818
Fu Cheong Estate,Sham Shui Po,22.32861,114.15465,6000,16200,113.71497912550161,826.3122026548263,113.71497912550161,109.3363730626478,113.71497912550161,0.572474461183177,0.0,0.0,0.0,0.0,0.0,0.0
Lai Kok Estate,Sham Shui Po,22.33224,114.15681,3000,8100,347.03157044978747,744.1234115293868,347.03157044978747,181.02308119320944,347.03157044978747,0.572474461183177,460.74129856437315,347.03157044978747,460.74129856437315,347.03157044978747,181.02308119320944,347.03157044978747
